what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334948419462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334948419494
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334948419525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334948419860
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334948422532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334948461451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334948463844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334948464673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334948464971
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334948484456
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334948560105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334948580166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334948583570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334948584192
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334948620482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334948620785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949019111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949096351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949127546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949128090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949133274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949134392
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1334949149280
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1334949149504
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949203433
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1334949209488
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1334949209667
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1334949209844
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1334949210239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949216157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949216306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949217567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949225608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949240392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949240819
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949278268
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949317640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949325088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949327503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949345495
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334949356323
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334949358937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949369835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949374238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949397433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949417896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949418368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949418856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949421383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949421762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949425747
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949436078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949436922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949445842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949446235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949454061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949468365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949469618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949471431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949472255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949498659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949543335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949548226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949576371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949576771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949588042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949599354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949600363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949600567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949610708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334949621864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949622957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949623674
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334949624039
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1334949624733
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1334949624741
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1334949624759
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1334949624762
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1334949624767
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1334949624780
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1334949624780
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1334949624780
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1334949624781
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1334949624783
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1334949624785
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1334949624786
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1334949624787
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1334949624889
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1334949624939
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1334949625023
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1334949625064
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1334949625067
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1334953462337
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1334953462339
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1334953462340
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1334953462341
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1334953462342
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1334953462342
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1334953462343
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1334953462344
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1334953462344
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1334953462345
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1334953462346
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1334953462347
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1334953462479
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1334953462480
